"Step","lively-mountain-127 - train_mIoU","lively-mountain-127 - train_mIoU__MIN","lively-mountain-127 - train_mIoU__MAX","youthful-brook-67 - train_mIoU","youthful-brook-67 - train_mIoU__MIN","youthful-brook-67 - train_mIoU__MAX"
"0","0.20322918987972788","0.20322918987972788","0.20322918987972788","0.6350015887516118","0.6350015887516118","0.6350015887516118"
"1","0.35441273346747854","0.35441273346747854","0.35441273346747854","0.6980049287239638","0.6980049287239638","0.6980049287239638"
"2","0.4373917227447447","0.4373917227447447","0.4373917227447447","0.7201532318147281","0.7201532318147281","0.7201532318147281"
"3","0.47797479461059644","0.47797479461059644","0.47797479461059644","0.7294959629143226","0.7294959629143226","0.7294959629143226"
"4","0.5037177482167202","0.5037177482167202","0.5037177482167202","0.7525893440151094","0.7525893440151094","0.7525893440151094"
"5","0.5164463265606715","0.5164463265606715","0.5164463265606715","0.7583015669313389","0.7583015669313389","0.7583015669313389"
"6","0.524789806350454","0.524789806350454","0.524789806350454","0.7701554953704589","0.7701554953704589","0.7701554953704589"
"7","0.5403660818396882","0.5403660818396882","0.5403660818396882","0.7698818298492248","0.7698818298492248","0.7698818298492248"
"8","0.5434792589700156","0.5434792589700156","0.5434792589700156","0.7948026338050379","0.7948026338050379","0.7948026338050379"
"9","0.5471428013128458","0.5471428013128458","0.5471428013128458","0.7963624277709342","0.7963624277709342","0.7963624277709342"
"10","0.5562918868414625","0.5562918868414625","0.5562918868414625","0.7975464105971943","0.7975464105971943","0.7975464105971943"
"11","0.5639393533137761","0.5639393533137761","0.5639393533137761","0.7995902302981541","0.7995902302981541","0.7995902302981541"
"12","0.5715965674812059","0.5715965674812059","0.5715965674812059","0.8135990185956913","0.8135990185956913","0.8135990185956913"
"13","0.5658688132782018","0.5658688132782018","0.5658688132782018","0.7907687556842926","0.7907687556842926","0.7907687556842926"
"14","0.5771071031669376","0.5771071031669376","0.5771071031669376","0.8073818743449885","0.8073818743449885","0.8073818743449885"
"15","0.578630739559182","0.578630739559182","0.578630739559182","0.8142995540755908","0.8142995540755908","0.8142995540755908"
"16","0.5832865614761492","0.5832865614761492","0.5832865614761492","0.8269374880112995","0.8269374880112995","0.8269374880112995"
"17","0.5841911462858916","0.5841911462858916","0.5841911462858916","0.8289325649492263","0.8289325649492263","0.8289325649492263"
"18","0.5796409149437227","0.5796409149437227","0.5796409149437227","0.8179575723876908","0.8179575723876908","0.8179575723876908"
"19","0.5861375417122724","0.5861375417122724","0.5861375417122724","0.8275756069061497","0.8275756069061497","0.8275756069061497"
"20","0.590170540298168","0.590170540298168","0.590170540298168","0.8204731405437048","0.8204731405437048","0.8204731405437048"
"21","0.5929740425766302","0.5929740425766302","0.5929740425766302","0.82863242849087","0.82863242849087","0.82863242849087"
"22","0.5965183064521963","0.5965183064521963","0.5965183064521963","0.8349315606340629","0.8349315606340629","0.8349315606340629"
"23","0.5982533001221864","0.5982533001221864","0.5982533001221864","0.8297507839079534","0.8297507839079534","0.8297507839079534"
"24","0.5942169415801201","0.5942169415801201","0.5942169415801201","0.8388953167930079","0.8388953167930079","0.8388953167930079"
"25","0.598949067845694","0.598949067845694","0.598949067845694","0.841573757245621","0.841573757245621","0.841573757245621"
"26","0.600422039932574","0.600422039932574","0.600422039932574","0.844951540279827","0.844951540279827","0.844951540279827"
"27","0.5992990212413707","0.5992990212413707","0.5992990212413707","0.8398561139664141","0.8398561139664141","0.8398561139664141"
"28","0.6034293633472155","0.6034293633472155","0.6034293633472155","0.8453422027324177","0.8453422027324177","0.8453422027324177"
"29","0.6030451481403901","0.6030451481403901","0.6030451481403901","0.8410211224582538","0.8410211224582538","0.8410211224582538"
"30","0.6078748646128443","0.6078748646128443","0.6078748646128443","0.8479313055324583","0.8479313055324583","0.8479313055324583"
"31","0.6051701241028455","0.6051701241028455","0.6051701241028455","0.8502505795719179","0.8502505795719179","0.8502505795719179"
"32","0.6071662040408832","0.6071662040408832","0.6071662040408832","0.8503819685724469","0.8503819685724469","0.8503819685724469"
"33","0.6094696416614996","0.6094696416614996","0.6094696416614996","0.8499760191371927","0.8499760191371927","0.8499760191371927"
"34","0.6162345415071205","0.6162345415071205","0.6162345415071205","0.8508186098584064","0.8508186098584064","0.8508186098584064"
"35","0.6143219312466011","0.6143219312466011","0.6143219312466011","0.8512991830557023","0.8512991830557023","0.8512991830557023"
"36","0.6186362841755481","0.6186362841755481","0.6186362841755481","0.8545854372953823","0.8545854372953823","0.8545854372953823"
"37","0.610363827855372","0.610363827855372","0.610363827855372","0.8579554694697732","0.8579554694697732","0.8579554694697732"
"38","0.6119163968940439","0.6119163968940439","0.6119163968940439","0.8525942842591808","0.8525942842591808","0.8525942842591808"
"39","0.6157080408464232","0.6157080408464232","0.6157080408464232","0.8502631922342806","0.8502631922342806","0.8502631922342806"
